"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 25 19:42:09 UTC 2026","Fri Sep 25 19:42:10 UTC 2026","323","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.DataDrivenTest","io.github.mypixelquest.pja.examples.DataDrivenTest","testWithYamlData","Data-driven test using YAML data","Loads test data from YAML and uses it in test"
"passed","Fri Sep 25 19:42:10 UTC 2026","Fri Sep 25 19:42:11 UTC 2026","440","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ParallelExecutionTest","io.github.mypixelquest.pja.examples.ParallelExecutionTest","parallelTest1","Parallel test 1 - Navigate to Playwright docs","First parallel test demonstrating thread-safe execution"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:06 UTC 2026","1693","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testSearch","Verify search functionality","Opens search dialog and verifies it's visible"
"passed","Fri Sep 25 19:42:11 UTC 2026","Fri Sep 25 19:42:11 UTC 2026","239","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ParallelExecutionTest","io.github.mypixelquest.pja.examples.ParallelExecutionTest","parallelTest3","Parallel test 3 - Verify URL navigation","Third parallel test demonstrating thread-safe execution"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:05 UTC 2026","2","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testDynamicDataGeneration","Demonstrate dynamic data generation","Generates and uses dynamic test data"
"passed","Fri Sep 25 19:41:59 UTC 2026","Fri Sep 25 19:42:00 UTC 2026","782","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","testWithSteps","Test with step annotations for reporting","Demonstrates Allure step annotations for detailed reporting"
"passed","Fri Sep 25 19:42:06 UTC 2026","Fri Sep 25 19:42:06 UTC 2026","360","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.RetryMechanismTest","io.github.mypixelquest.pja.examples.RetryMechanismTest","testWithRetryCapability","Test that demonstrates retry on failure","This test may fail initially but will retry based on configuration"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:09 UTC 2026","4017","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testToolsNavigation","Navigate to Playwright tools","Navigates to various Playwright tools (Codegen, Inspector, Trace Viewer)"
"passed","Fri Sep 25 19:42:01 UTC 2026","Fri Sep 25 19:42:01 UTC 2026","437","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testWaitForSelectorState","Demonstrate wait for selector state","Shows waiting for specific selector states"
"passed","Fri Sep 25 19:41:59 UTC 2026","Fri Sep 25 19:42:00 UTC 2026","771","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testAutoWaitForVisibility","Demonstrate auto-waiting for element visibility","Shows Playwright's automatic waiting for elements"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:05 UTC 2026","5","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testJsonDataLoading","Demonstrate JSON data loading","Loads and uses data from JSON files"
"passed","Fri Sep 25 19:42:09 UTC 2026","Fri Sep 25 19:42:09 UTC 2026","338","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.DataDrivenTest","io.github.mypixelquest.pja.examples.DataDrivenTest","testWithJsonData","Data-driven test using JSON data","Loads test data from JSON and uses it in test"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:05 UTC 2026","808","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testJavaDocumentation","Navigate to Java documentation","Navigates to Java-specific documentation and verifies the URL"
"passed","Fri Sep 25 19:42:02 UTC 2026","Fri Sep 25 19:42:04 UTC 2026","1245","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.FormInteractionTest","io.github.mypixelquest.pja.examples.FormInteractionTest","testFormSubmission","Test form submission","Demonstrates filling and submitting a form"
